tweet,label
#china fancy intervene or do you want world war 3 ??? #Russia #Russians #RussianWomenStopTheWar #russianinvasion #nuclearwar #ChinaWarnsWest #ChinaRussia #China,0
"#China support of #RussiaUkraineWar @POTUS this is why we must,Build and make and buy American.
#Americans if it’s made in #china pass,Buy American first!
#fuck #china #fuck #russia  America first mother fuckers!",1
"#China is trying to kill us all. DENY THIS AT YOUR OWN PERIL. They've been attacking our personal biology &amp; now our food supply. They want us gone. They want our food, land, resources. They have no soul, no love, no mercy. Something huge must be done. https://t.co/EdFk8h9q6z",1
"Daily reminder: #china is the cancer on the body of our planet.

#FuckChina",1
#China’s #Communists are killers. Keep them away from #America. #CCP,1
FK that wanker waffle depository. I hope that #China obliterates your country if you interfere in #Taiwan. #Germany's Nazi scum promises to help #Taiwan if China attacks https://t.co/ssK5EFjYU4,0
"So #China after robbing us of our #freedom with #ChinaVirus still find it worthwhile to rob us of our #wealth 🤯

Stop bullying #Africa &amp; #Africansinchina 17 Chinese go home and stop the illegal gold mining..

#Banks || #NigeriaVsAmerica || #nigeriavsghana || #COVIDー19 || 🇳🇬/🇨🇳 https://t.co/wpce1cfAlu",1
#China is watching America burning &amp; saying we will stick to #Communism #FuckDemocracy #AmericaBurning #CopsKillingBlacks #GoAndVote Lazy ass #MAGA,0
"Why are #Canada's 1% #Elite such evil people?
Because they have been #Captured by the #Chinese #CCP #Communists who know that they cannot dominate the world from #China which is now FRACTURING. They need a large, #Resource #Rich territory. 
 #cdnpoli #Truckers #FreedomConvoy",1
"♠️ don't resist your desire♠️
#chinese #chinesewomam #chineseslut #china #chinesebitch #chineseBBC #chinesefuck #blasian #chineseblackfuck  #blackman #blackcock #Meihei #chinesemeihei #BBC #analfuck #pussyfuck #blowjob https://t.co/urvMpCqzLm",0
"♠️ softening to enter♠️
#chinese #chinesewomam #chineseslut #china #chinesebitch #chineseBBC #chinesefuck #blasian #chineseblackfuck  #blackman #blackcock #Meihei #chinesemeihei #BBC #analfuck #pussyfuck #blowjob https://t.co/EbIeSClh9F",0
"The west would absolutely destroy Russia is a war ☺️ they can’t even handle Ukraine, just saying. #fuckputin #FreeBrittneyGriner they are all brainwashed sheep and sheep can’t win against lions. #America #Ukraine #China",0
moar #china shit puking ovn https://t.co/eV4GvMjUME,1
"2019 Stay Away From -ve People
2020 Stay Away From +ve People
#ChineseVirus #ChineseVirus19 #ChinaLiedPeopleDied #MakeChinaPay #BreakTheChain #COVID2019 #Covid19India #CoronavirusOutbreak #StayHomeStaySafe #China #ChinaVirus",1
"♠️the flavor delivered♠️
#chinese #chinesewomam #chineseslut #china #chinesebitch #chineseBBC #chinesefuck #blasian #chineseblackfuck  #blackman #blackcock #Meihei #chinesemeihei #BBC #analfuck #pussyfuck #blowjob https://t.co/gC07eCT2Uc",0
"#China is Prime reason for Devastation n Disaster.Why No Country is coming Front to announce that?We are so dependent on China, that we can’t afford to lose our Dependency.Hel with #China,Buying Companies al Over World.Selfish Murderers.they don’t even think to kill their Mothers",1
"What have u done to her? Free #PengShuai now!
#China #women",0
"Beijing warns UK will 'pay the price' for 'hostile' treatment of China
Bring it on fuck #china and all your products people money food everything stay away! We dont want any of it. All your filthy viruses sars mers bird flu covid germ war or your spying  https://t.co/msNM8TJ1MX",1
"#TheWorld should boycott #China.
#Amazon should stop importing #Chinese  goods.
#People should stop buying shitty Chinese items.
#Americans should forgive me for saying #FUCKCHINA !

#USA @realDonaldTrump #America",1
so China do you still play tennis.  Does the chinese government still kill those who tell the truth. #china #scum #BoycottBeijingOlympics,1
"India should sieze the opportunity to become world's biggest manufacturer as #china did after #ww2 . The #USA is a coward, they terrorised #iraq now they want to baptise the whole world. People who support #usa should watch how their own #blacks are butchered in the name of drugs",0
"Same with you #NBA 
“#NFL you clinch your fist with #Nike 
@nike
 yet #China won’t let black population rise. No way! Same with Arab Muslim. A Communist country ran by a Dictator using kids as labor. I’m banned for the truth! Those kicks are COVID-19 sick! #BLM? Free #HongKong",0
"#scum two faced shit #china
#destroychina @MFA_China @XHNews @SpokespersonCHN @zlj517 @CECCgov @ChinaDaily @ChinaDailyAsia @HuXijin_GT
#boycottchina #dontbuychineseproducts @HuXijin_GT @CGTNOfficial 
https://t.co/n2XAdB3hlF",1
"Look at this ugly ching chong, when you keep eating those kind of things (dogs,cats,rats,snakes)i think that we will get alot of virus from your shitty country. Trump said right ,its chinese virus. #china #COVIDIOTS #ChineseVirus #Corona #Hantavirus #COVIDー19 #Italy https://t.co/87hCnGUqW6",1
"♠️inside♠️
#chinese #chinesewomam #chineseslut #china #chinesebitch #chineseBBC #chinesefuck #blasian #chineseblackfuck  #blackman #blackcock #Meihei #chinesemeihei #BBC #analfuck #pussyfuck #blowjob https://t.co/7ZfndUWOuQ",0
So China discovered glass globes on the moon. All I can think about today is our space hamster overlords. ☄️🌖🐹 #china #moon,0
"♠️Delicious♠️
#chinese #chinesewomam #chineseslut #china #chinesebitch #chineseBBC #chinesefuck #blasian #chineseblackfuck  #blackman #blackcock #Meihei #chinesemeihei #BBC #analfuck #pussyfuck #blowjob https://t.co/0S50qdwO0i",0
#china should shut the fuck up. China has zero diversity. The people all look the same in their cities. No black people no arabs no latinos no white people just Han. Have have everyone here. 🇺🇲🗺️,1
"The war mongering scum USA are planning a potential nuclear war with Russia and China!  America is a greedy, power hungry, imperialist monster.

NOBODY wins.  WTF is wrong with these fucks!

https://t.co/XYLGZbkJQH

#wwiii #ww3 #china #russia",0
"WE should NOT only BOYKOT #BeijingWinterOlympics but #China altogether! Do NO more business with 🇨🇳. STOP taking in Chinese immigrants + KICK 🇨🇳 out of #UNO and #WTO! Fact: #China, #Putin, #NorthKorea and #Iran are EVERYBODY's ENEMY!",1
"Hey #China you number 10 assholes want to be like your russist friends? Huh bitches? Better not play with the fire.. We got yproblems.our fire. Oh and you can keep that Nancy loudmouth over there, or else there will be",1
#BLM #chinkvirus #ChineseVirus19 Surely not! Right? #maga #blm #china #Trump #originoftheviri #Google #CNN #BlackLivesMatter https://t.co/cfCS2uZ326,1
#Mickey #mouse #wars of #chinks with #pandies Making sense of #India #China #confrontation at #galwan: https://t.co/riGHuoQv9P https://t.co/wsUZkkoIjj,1
"I like her outfit~

#nsfwtwt #nsfwtw #nsfw #nsfwaudio #wet #college #collegestudents #china #horny #collegewhore #jav #asian #barelylegal #incest #leaked #leak #public #skirt #upskirt #cumshot #titdrop #tit #hugetits #pussy #masturbate #dildo #fakecum https://t.co/3nZURGmq2u",0
#china calm your #dragon #tits,1
"But the cocksuckers won't say SHIT about #China.
#Disney and #WarnerBros. will pause theatrical movie releases in #Russia. https://t.co/Gc6twmo1xh",0
"#Canadian military officer calls for probe into ground zero #SARSCoV2 outbreak @ World Military Games #Wuhan 
Funny, I was just talking about this with someone two days ago. Along with #China's apparently unaffected mink. H/t @Colin_UK_GB   
CC @Harvard2H 
https://t.co/8dMTYcLOlD",0
"amazed that throughout the entire #COVID19 outbreak that those cunts #China #CCP have literally escaped all blame.
Yet there are dickhead politicians &amp; people in Australia blaming each other!
How stupid do you have to be?
#China is to blame &amp; should be destroyed!",1
"This is how the Chinese refer to other continents and peoples:
White pigs, Niggers, Mutts, Monkeys.Muslim Beasts-
#China #Muslms #Africa https://t.co/cOScQtMaPF",0
"Come pull these off me~

#nsfwtwt #nsfwtw #nsfw #nsfwaudio #wet #college #collegestudents #china #horny #collegewhore #jav #asian #barelylegal #incest #leaked #leak #public #skirt #upskirt #cumshot #titdrop #tit #hugetits #pussy #masturbate #dildo #maid #thighs https://t.co/j4XCMkg0Cn",0
America - Land Of The Free 🤣🤣🤣 #Biden #Trump #USA #US #America #Russia #Europe #EU #UK #Britain #DeepState #DrainTheSwamp #MAGA #Propaganda #Australia #Canberra #auspol #China #Breaking #News #BBC #CNN #MCNBS #Covid #Masks #Vax #ThanksBiden #BLM #BidenHarris #WakeUp #News https://t.co/xW1cO2TTMT,0
"#china 
Will China ever get rid of this damn cockroach? https://t.co/l9lROHKB8G",1
#China stop your stupid actions stop your harm to this planet just stop 🤬🤬,1
"the fucking #Yanks just can not live a week without stirring the shit in the world and starting another  fucking war....

#pelosi #taiwan #china

Amerikaanse toppoliticus Pelosi ondanks dreigementen China aangekomen in Taiwan - https://t.co/o1D8f8jQy8",0
#OhioState;#NWO;#ThePrince;#TheBattle;#TheBeast..4 #Russia &amp; #China &amp; #Germany &amp; #Iran N #NorthKorea &amp; #All: Come 1 Come #All 4 these teachings R 4 the #DarkSkinned N #Eritreans 4 they #Understand #Kubrom aka #TheEmperor so do some #AlphaWhiteMales N some #AlphaWhiteFemales lol..,0
#China is  no1 dirty  people in the world chinies not humans,1
"Hey @GretaThunberg where are you...
You need to Shout #HowDareYou at #China
Communists r attacking world by Viruses, killing millions of people
Do something shout atleast
#CurfewInIndia #ChineseVirusCorona #ChinaLiedPeopleDied #ChinaLiesPeopleDie #ChineseCoronaVirus #WuhanVirus",1
Any American company that manufactures anything in #China should be treated as traitors. Do not buy a single piece of Chinese made garbage #ChinaLiedPeopleDied #AmericaFirst,1
"#CHINA STOP taking Rare Earth, Teak, Gold, GEM, Natural Gas, Oil and Human( Human Organ and Sex Slave) from Myanmar. CHINA destroyed Everything in Myanmar. They destroyed our Nation and our homeland. #RejectCoupRejectASEAN #ChinaGlobalThreat #ChinaMustPay #China_is_terrorist",1
"So tired of #US barbarians running the world. #China please take over, at least you will have more dignity",0
"Hey #China, FUCK YOU! You do realize most animals have coronaviruses right? Don’t need to round them up and kill them you dumb motherfuckers!",1
"#Taliban wud do well fr #Afghanistan and #SouthAsia if only they see d sweet spot their country can be in by embracing d 3 giants around it..#Pakistan #China #India, now tht aliens from far beyond hv left. The 3 shd not play big brother.",0
"Wtf man the cheese ain't free?!?!?!?!??
#socialism #feminism #communism #memes #eattherich #maga #weed #dank #marx #antifa #anarchism #lenin #blm #acab #ancap #libertarian #capitalism #freepalestine #altright  #dogs #cats #china #haha #biden #leftist #rightwingmemes #republican",0
"Something Close to Genocide Going On in China's Xinjiang, They're Shaving Heads of Uighur Women for Hair ... #InvasionistChina #ExpansionistChina #ChinaVirus
#ChinaTaiwan #ChinaLiedPeopleDied #China  https://t.co/OxalXqAYkz",0
#ChineseVirus STOP from buying ALL products from #china. The Chinese food industry is already destroyed &amp; not coming back. Now we will unite and never buy anything coming from China!  #ChinaVirus  #ChinaLiedPeopleDied. I don't care if we have to pay more. Not with our lives,1
"#China has screwed people all around the globe,their greed to dominate,their need to control every other country made them develop bio weapons,imagine how many innocent lives are being lost due to these Chinese powehungry bastards! #ChineseVirus #WuhanVirus #killers #chinakills",1
"Shame on #China, #India and #Russia for giving deaf ear about #Tigray #Genocide.  
#StopGenocideonTigray 
#StopEthnicCleanisingofTigray 
#EritreanTroopsOutofTigray 
#AmharaMilitiaOutofTigray 
#StopRapingwomenInTigray",0
"Not You and Not WHO.
We know only one truth that many of our dear one are dead. 
And #China is culprit.
China need to be removed from globe 
#BycottChina #ChineseVirus
#BycottChineseProduct 
 https://t.co/ZkAOllb4qb",1
"#China has put life of millions in denger. They must pay for it. International community must held them accountable and strict action must be taken.

#BoycottChina 
#ChinaLiedAndPeopleDied 
#ChineseVirus 
#ChinaLiedPeopleDied #ChineseWuhanVirus 

#WHO #SUCKES 
@WHO",1
"CANCELLING THE FOUNDING FATHERS, DEGRADING THEIR PERSONAL LIVES IS THE WAY TO SHUT THEM UP SO THAT PEOPLE LEARN NOT FROM THEIR FREEDOM EXEMPLE, SO THAT CHINA CAN LURE AMERICA INTO SERFDOM
#WOKE #CHINA #CANCELCULTURE #PROJECT1690 #OPRAH #MeghanandHarryonOprah #ccp #REPORT1776",1
#china laughs as biden destroys America so China can come in and steal our resources and our land wake up Americans. Blm get out if u don't like it here.,1
#China killed more than one million people in 184 countries #Chinese keep on eating Bats and the world has to deal with their pandemics? China did a bad thing to the world and still eat wild Bats this is unacceptable whole world must hold China accountable?https://t.co/sFU2WFF40P,1
Rt get a exclusive video pm once done 🖤💗🖤💗🖤💗🖤      #latin #freenudes #rt #fuckme #nsfw #nsfwtwt #bbw #whore #fatass #China #cockslut #love https://t.co/T4FWu6Sa13,0
"White men fuck me harder when I tell them I've never had white cock before.

#asianbaddie #Asian #Asiandoll #Asianslovewhite #asiangonewild #China #Japan #korea #Chinese #Japanese #Korean https://t.co/ADK948Wzxj",0
"Fuck you #XiJinping and fuck you #CCP fuck your whole fucking shithole country #China ..... Fuck you! 
#FreeTibet 
#CommunismKills 
#ChinaWillPay",1
#China... do you see it how we see it? Blood on the streets? Does it look like leaders are turning your neighbors against you? It's not who built it that steal from their own. #Yakuza are not #free to enter their own temples because of the #GodDamnedMob #MySnakeCult is #offended. https://t.co/6y73y1WAIg,0
Stupid #india #china go eat your pollution! We have only one World as*holes!,1
"Africans are being killed by drones from #China, #Turkey &amp; #UAE. These new superpowers have been colonizing Africans to exploit resources while supporting authoritarian regimes. Stop #Tigraygenocide, #TigrayEthnicCleansing  #KnowMore

https://t.co/be7wW2BPrO",0
"https://t.co/FLhVI4Lv8n
Footage of #cops beating BLAeck man…meant to do damage…#FuckthePolice #FuckingPigs #MucthaFuckThePolice #BeBold #UK #EU #Congress #POTUS #Canada #UN #China #Russia #UnitedStates #Mex #Col #ARG #Beijing #Moscow #FactCheck #RealityCheck #humanitariancrisis",0
#TigrayFamine #TigrayGenocide @POTUS @SecBlinken @antonioguterres @LindaT_G help  civilian tigray say stop #China #Turkey #Aue,0
"If we dont BAN #CHINA
FREEZE CHINA's ASSETS
&amp; #EMBARGOCHINA 
China will keep Manipulating this virus just a tad, and release it EACH YEAR
PLEASE WAKE UP EVERYONE ELSE
@BorisJohnson 
@realDonaldTrump 
@JoeBiden 
STOP INT'L FLIGHTS FROM ALL COUNTRIES
UNTIL WE HAVE CHINA CONTAINED.",1
"#China is looking for an excuse to start the invasion... these scums will keep on flying near #Taiwan and before you know it, there will be an incident, which will trigger an all out response

https://t.co/BGmhu15DCm",1
"Daily reminder: #china is the cancer on the body of our planet.

#FuckChina",1
#China RUNNING their Stupid Idiot Mouth and they will get the BIGGEST #L in the universe #WhatsUp,1
#donaldtrump on #FarEast #China huge &amp; unfair #theft of #Westernjobs #wealth #USJobs. #Trump2024 #maga #gypsycrusader #prolife #Buildthewall https://t.co/7Q5tk9gnUg,0
Crab me if you can! #chongqing #sichuan #chengdu #china #hotpot #chinesefoodlover #chinesecuisine #dezhuang #dezhuanghotpot #tasteofchinatwopointzero #chineat #chineating https://t.co/Osqh20OkTJ,0
"This is you china in red only and you occupied all nation's land with your fraud  @XHNews @globaltimesnews @PDChina 
Go back china from Tibet . Tibet is a free country and this land is not yours .
#china #occupied #Tibet 
#BoycottChineseProducts https://t.co/zTfbRznWIF",1
"#Masons #deepstate showing the world how China can take over DC..NOTHING TO LOOK AT FOLKS!
ITS THAT EASY WHEN #CHINA CONTROLS THE USA ALREADY.",1
"“Ruling Elite”
#MEDIA #NEGROMANCER #ALIENINVASION #UKRAINE #ASIA #CYBER #WAR #IDENTITY #THEFT #FILTER #RAPE #FOOD #PORN #MUSLIM #KOREA #CHINA #SLAVE #CLONE #MEAT #PORK #GHOST #UFO #FETUS #ARTIFICIAL #ENCHANTMENT #CANNIBAL #ANGEL #ENVY #FILTER #RAT #ROMANCE #TROLL #ARMY #AGENDA https://t.co/n3b9rNN8c8",0
"Nmslese: nmsl
🇹🇭 Thai: we have 20 mums
🇭🇰Hk: we have 30k+1 mother, thx 😘

Nmslese: Hell no, your mum go f**k that bitch (Carrie lam)

🇭🇰Hk: so u are saying HK police fk her or she fk the police?🤔
#nmslese #nmsl #HongKong #HongKongPolice #StandWithHongKong #china #FreeHongKong https://t.co/HC4U7hT26M",0
#Turley: #Democrats Want #China’s #Restrictions on #FreeSpeech | These Democrats belong in China. The #Founders would cringe. #DrainTheSwamp #Jexodus #WalkAway #MAGA #KAG #Trump2020 #Jexit #Blexit #FreeSpeech #AmericaFirst  https://t.co/cLH86Z3xle,0
"#CUNTKICKED JIM MACNEILL... YOU ARE THE ONE BEHIND EVERY BAD THING WHICH HAS HAPPENED, IT WAS YOU, YOU NEED #ARIGHTPROPERKICKING FOR EVERYONE TO FEEL BETTER. ALL THE TIME. #FOREVER #NEWS #China #ChinaDailyCartoon #JAPAN #ASIA #MALAYSIA #India #Europe #MIDDLEEAST #Britain #America",0
"There is an oppresion of #Muslims ☪️ in #China 🇨🇳, #India 🇮🇳, #Israel 🇮🇱, #Myanmar 🇲🇲 and more. The other side also does many bad things and say vile things, but the countries have more power and control in oppression and spread of hatred.

#fuckislampohobia #notoislampohobia",0
"ding dong ching chong, is it wrong to be strong?? 💪💪💪 #china #ohnooo also #treason ??",1
Imagine a world without #China and #Russia bullshitting at the #UNSC? #TigrayGenocide #TigrayCantWait,0
I'm not for corrupt Asian men I am just age dirty corrupt American frauds racist terrorists sociopath pigs evil corrupt People in this country the men raping us in this country.. #un #China #Humans #earth,1
Tell me something @TheDemocrats HOW DO YOU FEEL NOW-@JoeBiden is GIVING OUR MONEY BACK TO THE WHO - RESPONSIBLE WITH #China  FOR KILLING OUR CITIZENS by BRINGING THAT CHINESE VIRUS INTO OUR WORLD!  DO YOU FEEL GOOD NOW?  IDIOTS!,1
Let's Ban china in the whole world.#tiktokexposed #tiktokdown #tiktokbaninindia #BanChineseProducts #BanTikToklnlndia #BanTiktok #ChinaIndiaFaceoff #China #ChinaWingsClipped #chinaindiaborder #indiansAgainstTikTok #IndiaStandWithArmyAndModi #IndianArmy https://t.co/Shj5UNmToQ,1
"#Bangladesh, pygmy tht now knows it has been taken fr a ride by padosi giant, #India. Our dishonesty on #Teesta #waters &amp; ugly fat lumpen calling ppl of BD #termites, #China offer 2 build 1bil$ dam, #America conceding we  r unfit counterbalance to China. Bad news. @ShekharGupta",0
We need to abolish all kinds of #furfarming. Due to virus mutation in farms we are risking months of additional lockdowns so that women in #China could enjoy fur coats and a privileged few could make money from this. #minkgate #Minks #COVID19,0
"#Turkey 
#UEA
#CHINA 
#Russia 
#Azerbaijan 
All these countries supplying Ethiopia to kill innocent people of Tigray #stop support #TigrayGenocide 
@UNHumanRights @POTUS @JustinTrudeau @NATO @WhiteHouse @SecBlinken @PowerUSAID @BorisJohnson @USAmbNATO @UKNATO @EU_Commission",0
"An #IndoPacific #NATO is a bad idea - Asia Times https://t.co/SNNxdh42Fd
#WesternHypocracy #whitesupremacists determined to destroy #China #Russia #ww3 coming soon near you. Hope #China building up enough #nuke to hit back hard.
#StopAsianHate #AsianLivesMatter
#FreePalaestine",0
"Look at these bastards #Chinese .  They eat every animal.  They produce too many numbers of #viruses and export them to the #worldwide.  They are destroying our beautiful planet.  We must destroy them before they destroy us.
#COVID19 
#coronavirus 
#asian
#China https://t.co/tURYudcwyB",1
#China #HongKong  #CCP #USA HitlerXi Dodgy Pooh shameless keeps terrorising ALL NATIONS stealing FISH from open seas of the world and claiming SouthChinaSea as his swimming pool -His TEETH need to be BROKEN and given a dose of CCP virus -ONLY TRUMP CAN DO IT-,1
you have already forgotten that the covid started from dirty China #china #Pelosi #Taipei #taiwan,1
I've heard that #China is making MORE labs - and they are #BIOWEAPON labs..nobody's going2 tell me #CCP isn't sending #covid19 and its #variants to USA &amp; it's allies on purpose..they don't even try2 hide that they want us all dead so they can take us over.  #ChinaLiedMillionsDied,1
"Sometimes we do get quite a bit of 5 cents / wumao's attention - and many comments with failing #logics / arguments. 
You may see them too - and here is how we debunk it.
#wumao #5cents #fuckccp #boycottchina #china #beijing #failinglogic #idiots #hongkong #standwithhongkong https://t.co/ZSPXkoY9t8",0
#USA #UKRAINE #EU #EUROPE #FRANCE #GERMANY. THE New #terroristS #Barbadians like #Putin and #China #rulers SHOULD BE #finished from #Lovely #Planet #Earth. #DEMOCRACY IS #ONLY WAY FOR #PEACEFUL #EARTH.,1
The usa #eeuu is just #africa and #china's small slave how far are you anyway ? #maga #foxnews #mexico,0
"Leftists funding scumbag bases - paying people to fly around the world to make it appear like groundswell uprisings. Islamic shell companies behind all hate. Infowars 5 Sept 2020 (12'49"") #Islam #China #IslamicShellCompanies #BLMareScumbags #BanksMustDie https://t.co/0zmU6AIbaY",0
"I feel like China took a huge MKULTRA shit on America.
#CCP #Democrats #China #StopTheSteal #StopTheFraud #AmericaFirst #AloneTogether #DemocratsAreDestroyingAmerica #1776Again #WWG1WGA",1
"Threesome anyone? Dm to rp~

#nsfwtwt #nsfwtw #nsfw #nsfwaudio #wet #college #collegestudents #china #horny #collegewhore #jav #asian #barelylegal #incest #leaked #leak #public #skirt #upskirt #cumshot #titdrop #tit #hugetits #pussy #masturbate #dildo #fakecum #threesome https://t.co/Ugsa39cxm5",0
#China out of #Africa. #China exported #Covid19 to the world who killed 100s of 1000s and now #china is exporting #drones and mercenaries to bomb #7M ppl of #Tigray. #TigrayGenocide #NoFlyZoneInTigray #TigrayFamine,1
"Was having some raceplay fun with this chink, and she sent me this, haha woof woof! #pet #chink #fucktoy #china https://t.co/761jDMm9fx",0
I'd fuck a woman to this #Fortnite #suii #Asia #China #greatwallofchina https://t.co/j4kYcRmjFo,0
"What punishments should white men prepare for #Asian slut-traitors who defect to the #CCP ? 

#Eileen_Gu #EileenGuTraitor #China https://t.co/7MuAjhivy2",1
"#staybackchina #boycutchina #banchineseproduct
Don't try to push into india...
we are silent dosent mean we are weak..
Our silence is our Biggest power..
A straight reply to #china from a oroud indian
@PMOIndia @AmitShah @abpnewshindi @China_Amb_India",1
"Hey #China, go fuck yourselves... #2A #2ndAmendment 

#StatistLogic #TaxationIsTheft #MakeAmericaDefiantAgain #MADA #Patriot #Definitions #Statism #Anarchism #Libertarianism #Voluntaryism #BanGovernment #MuhRoads… https://t.co/TNu4uyq9ml",1
After 7 months of the #ChinaVirus there have been many true hardships and countless inconveniences. So allow me to write FUCK #China ! @AmbCuiTiankai #ChinaLiedPeopleDied #ChinaIsAsshoe #CCPLiedPeopleDied #ChinaJoe #KAG2020 #MAGA2020 https://t.co/5SSaYecAOw,1
"#BanTrophyHunting ,and #StopYuLin4ever #China .#bankoreanboknal #skorea.And So many other #animalmurder happenings in this cruel world against animals.They don't stand a chance against humans guns and #animaltorture methods. #animallivesmatter",0
"IC act NOW to:
#StopTigrayFamine
#StopTigrayGenocide
#StopTigraySiege
#StopWarOnTigray
Stop #DroneAttack
+
Remove #IsaiasAfewerki
+
#EritreaOutOfTigray
+
Condemn #UAE #Turkey #China #Iran #Russia to #StopArmingEthiopia
+
#DropAidNotBombs
#AllowAccessToTigray
#AllowHumanitarianAid",0
"#TheChinese #Communist government should respect the rights of its neighbors and refrain from interfering in the affairs of #Taiwan, as well as refrain from oppressing #the_great_nation of #China, especially the residents of #HongKong. #BigTunb, #LittleTunb, #AbuMusa,",0
"They keep outsmarted us falseflaging lao dong liberation Army and KouMuangTian KouMingTian and they were #pro=#colonail #Qing #Manchu #Mongols #POS #MINH
#Mofos #claim #real #ChineseEthnicity=#Laotian #Anti=#China #Anti=#Buddha
#Han?#Qin=#State!#Confucian
https://t.co/7LeyFkTvHT",0
"#XiJinping #China #Putin #Russia #ElonMusk #Musk 
#Taiwanese #Ukraine️ 

.

We don't care how much money or power you have, or how many hypersonic missiles you have left, stay the fuck out of our countries and our lives. https://t.co/AhFwKjPCv4",1
"May god spare all of us from these hidden Monsters🙏🏼

They are their half way to end humanity.

#China #COVIDIDIOTS #COVID 
 #Hantavirus",0
No one owns their life especially when the things u do to yourself affects the people around you. A lot of the species that are most threatened on Earth right now are threatened because of demand in China. the chinese will eat everything from earthworms to apes .Covid-19.#China,1
Did you know more Americans have died from Chinese #fentanyl than from Covid. We need to close the southern border and hold #China accountable! @GOPChairwoman @GOP #WakeupAmerica,0
The #Government need to send in The #BritishArmy to Bomb down #WuhanMarket to eliminate the #threat that is #COVID19 Disgusting Rats!!! #ChinaMustPay #WuhanVirus #WuhanHealthOrganisation #ChinaVirus #VirusChina #China #ChinaLiedPeopleDie #CloseWetMarkets,1
